alert_id,timestamp,user,ip,country,severity,reason,event_type,mitre_id,mitre_technique,attempt_count,risk_score,ml_label,priority_score,recommended_action
SOC-3D239E21,2026-05-26 01:01:58,admin,45.33.32.156,CN,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,14,88.68,ANOMALY,93.21,Block IP immediately + Reset user password + Enable MFA
SOC-36F5625F,2026-05-26 04:43:41,admin,198.51.100.23,CN,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,12,85.56,ANOMALY,91.34,Block IP immediately + Reset user password + Enable MFA
SOC-2FCC9727,2026-05-26 02:33:05,admin,45.33.32.156,CN,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,14,85.4,ANOMALY,91.24,Block IP immediately + Reset user password + Enable MFA
SOC-B8C6795A,2026-05-26 00:06:04,root,103.21.244.0,CN,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,11,84.89,ANOMALY,90.93,Block IP immediately + Reset user password + Enable MFA
SOC-C04BA77D,2026-05-26 01:54:04,root,198.51.100.23,CN,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,13,84.25,ANOMALY,90.55,Block IP immediately + Reset user password + Enable MFA
SOC-FEFFFC7E,2026-05-26 00:00:25,deekshitha,185.220.101.45,CN,CRITICAL,Known Malicious IP Detected: 185.220.101.45,brute_force,T1110,Brute Force,12,83.61,ANOMALY,90.17,Block IP immediately + Reset user password + Enable MFA
SOC-09FF0D18,2026-05-26 03:07:53,deekshitha,192.0.2.77,CN,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,14,82.61,ANOMALY,89.57,Block IP immediately + Reset user password + Enable MFA
SOC-212DE8B0,2026-05-26 00:00:00,root,45.33.32.156,KP,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,13,82.6,ANOMALY,89.56,Block IP immediately + Reset user password + Enable MFA
SOC-6E4DC5E0,2026-05-26 04:24:49,root,198.51.100.23,KP,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,14,79.95,ANOMALY,87.97,Block IP immediately + Reset user password + Enable MFA
SOC-D2016011,2026-05-26 00:41:30,admin,198.51.100.23,RU,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,13,79.62,ANOMALY,87.77,Block IP immediately + Reset user password + Enable MFA
SOC-AC694060,2026-05-26 00:55:27,jane.smith,45.33.32.156,CN,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,14,79.07,ANOMALY,87.44,Block IP immediately + Reset user password + Enable MFA
SOC-F030B621,2026-05-26 01:45:25,guest,192.0.2.77,CN,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,14,78.56,ANOMALY,87.14,Block IP immediately + Reset user password + Enable MFA
SOC-0955C40B,2026-05-26 04:28:57,john.doe,103.21.244.0,CN,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,14,78.46,ANOMALY,87.08,Block IP immediately + Reset user password + Enable MFA
SOC-1FC667BE,2026-05-26 00:05:20,admin,192.0.2.77,CN,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,10,78.0,ANOMALY,86.8,Block IP immediately + Reset user password + Enable MFA
SOC-7A601F14,2026-05-26 02:33:00,deekshitha,192.0.2.77,CN,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,13,77.69,ANOMALY,86.61,Block IP immediately + Reset user password + Enable MFA
SOC-200F8DE3,2026-05-26 04:28:27,hr.user,192.0.2.77,CN,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,13,75.83,ANOMALY,85.5,Block IP immediately + Reset user password + Enable MFA
